Price,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,
2025-07-10,3730.0,3750.0,3650.0,3690.0,3746500
2025-07-11,3700.0,3750.0,3700.0,3730.0,3447400
2025-07-14,3630.0,3700.0,3610.0,3700.0,2604000
2025-07-15,3610.0,3640.0,3600.0,3630.0,1578500
2025-07-16,3620.0,3670.0,3610.0,3630.0,3161000
2025-07-17,3660.0,3660.0,3630.0,3630.0,1491300
2025-07-18,3670.0,3710.0,3660.0,3670.0,2448900
2025-07-21,3570.0,3670.0,3560.0,3670.0,8909500
2025-07-22,3570.0,3600.0,3550.0,3580.0,4387600
2025-07-23,3600.0,3600.0,3560.0,3580.0,2707800
2025-07-24,3630.0,3700.0,3590.0,3600.0,7988100
2025-07-25,3610.0,3640.0,3580.0,3630.0,6499400
2025-07-28,3650.0,3670.0,3600.0,3610.0,7881900
2025-07-29,3640.0,3690.0,3630.0,3650.0,5927000
2025-07-30,3610.0,3670.0,3600.0,3650.0,5403300
2025-07-31,3580.0,3640.0,3560.0,3640.0,5626000
2025-08-01,3580.0,3610.0,3560.0,3580.0,3749300
2025-08-04,3550.0,3590.0,3540.0,3580.0,4099800
2025-08-05,3570.0,3590.0,3550.0,3550.0,17087300
2025-08-06,3570.0,3620.0,3560.0,3600.0,6436100
2025-08-07,3550.0,3570.0,3540.0,3570.0,6451500
2025-08-08,3520.0,3570.0,3510.0,3540.0,5470900
2025-08-11,3560.0,3570.0,3510.0,3530.0,5813100
2025-08-12,3650.0,3660.0,3540.0,3560.0,9759300
2025-08-13,3600.0,3700.0,3600.0,3690.0,9590800
2025-08-14,3540.0,3630.0,3540.0,3600.0,10059400
2025-08-15,3530.0,3550.0,3510.0,3530.0,7026400
2025-08-19,3500.0,3540.0,3500.0,3540.0,6619100
2025-08-20,3450.0,3520.0,3430.0,3500.0,15448500
2025-08-21,3400.0,3450.0,3370.0,3450.0,18946200
2025-08-22,3310.0,3430.0,3290.0,3430.0,26391400
2025-08-25,3430.0,3460.0,3320.0,3320.0,16242500
2025-08-26,3420.0,3460.0,3400.0,3440.0,10356000
2025-08-27,3410.0,3450.0,3390.0,3430.0,3901500
2025-08-28,3400.0,3440.0,3400.0,3410.0,3924300
2025-08-29,3360.0,3410.0,3320.0,3400.0,8509400
2025-09-01,3300.0,3380.0,3200.0,3250.0,13447400
2025-09-02,3340.0,3370.0,3330.0,3350.0,4781100
2025-09-03,3410.0,3450.0,3360.0,3360.0,5102500
2025-09-04,3430.0,3450.0,3400.0,3430.0,3139200
2025-09-08,3410.0,3490.0,3410.0,3450.0,6538800
2025-09-09,3380.0,3420.0,3350.0,3400.0,4955800
2025-09-10,3420.0,3460.0,3390.0,3390.0,2807600
2025-09-11,3460.0,3510.0,3440.0,3460.0,4965600
2025-09-12,3480.0,3500.0,3430.0,3480.0,3885000
2025-09-15,3500.0,3520.0,3470.0,3490.0,4095300
2025-09-16,3500.0,3560.0,3490.0,3530.0,4506300
2025-09-17,3540.0,3550.0,3490.0,3500.0,4515400
2025-09-18,3540.0,3590.0,3540.0,3560.0,6138700
2025-09-19,3460.0,3540.0,3460.0,3500.0,4908100
2025-09-22,3480.0,3500.0,3450.0,3480.0,1438900
2025-09-23,3540.0,3550.0,3470.0,3500.0,2972800
2025-09-24,3550.0,3560.0,3520.0,3540.0,2497600
2025-09-25,3540.0,3580.0,3520.0,3550.0,5219300
2025-09-26,3540.0,3560.0,3520.0,3560.0,1483600
2025-09-29,3560.0,3590.0,3540.0,3550.0,5010000
2025-09-30,3480.0,3570.0,3480.0,3570.0,2759300
2025-10-01,3460.0,3510.0,3450.0,3450.0,3282700
2025-10-02,3460.0,3480.0,3450.0,3470.0,1637700
2025-10-03,3920.0,3950.0,3450.0,3480.0,43320200
2025-10-06,3870.0,3930.0,3700.0,3920.0,14835400
2025-10-07,3800.0,3870.0,3770.0,3860.0,11676900
2025-10-08,3790.0,3830.0,3720.0,3790.0,4968200
2025-10-09,3820.0,3840.0,3780.0,3800.0,6864600
2025-10-10,3780.0,3900.0,3780.0,3860.0,7422400
